bulan,cabang_olahraga,event_olahraga,nomor_pertandingan,nama_peraih_medali,medali,jumlah
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Punggung Putri,Almira Pohaci,emas,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Punggung Putri ,Almira Pohaci,emas,0
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Ganti Perorangan Putri,Raissa,emas,0
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Bebas Putri,Cintya Nariska,emas,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Dada Putra,Lutfi Lukman,perak,0
8,Renang,Kejurnas Antar PPLP/D 2018,100 meter Gaya Dada Putra,Lutfi Lukman,perak,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Kupu-kupu Putri,Ulya Mutiara,perak,0
8,Renang,Kejurnas Antar PPLP/D 2018,100 meter Gaya Kupu-kupu Putri,Ulya Mutiara,perak,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Dada Putri,Ulya Mutiara,perak,0
8,Renang,Kejurnas Antar PPLP/D 2018,200 meter Gaya Ganti Perorangan Putri,Ulya Mutiara,perak,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Dada Putri,Alvia Azzahra,perak,0
8,Renang,Kejurnas Antar PPLP/D 2018,100 meter Gaya Dada Putri,Alvia Azzahra,perak,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Kupu-kupu Putri,Alvia Azzahra,perak,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Bebas Putri,Aurel Thallah Devita,perak,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Kupu-kupu Putri,Sasy Zahrani,perak,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Bebas Putri,Sasy Zahrani,perak,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Punggung Putri,Desvita Sicilla Unu,perak,0
8,Renang,Kejurnas Antar PPLP/D 2018,100 meter Gaya Bebas Putri,Desvita Sicilla Unu,perak,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Punggung Putra,La Ode Fikri,perak,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Punggung Putra,La Ode Fikri,perak,0
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Ganti Perorangan Putri,Widad Audir,perak,0
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Ganti Perorangan Putra,M. Adlan Sumori,perak,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Bebas Putri,Raissa,perak,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Bebas Putri,Asih Setyorini,perak,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Bebas Putra,Rico Zelmi,perak,0
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Ganti Perorangan Putra,Rico Zelmi,perak,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Punggung Putra,Jovanta AP,perak,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Punggung Putra,Jovanta AP,perak,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Dada Putri,Asih Setyorini,perak,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Punggung Putri,Almira Pohaci,perak,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Punggung Putri ,Almira Pohaci,perak,0
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Ganti Perorangan Putri,Raissa,perak,0
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Bebas Putri,Cintya Nariska,perak,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Dada Putra,Lutfi Lukman,perunggu,0
8,Renang,Kejurnas Antar PPLP/D 2018,100 meter Gaya Dada Putra,Lutfi Lukman,perunggu,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Kupu-kupu Putri,Ulya Mutiara,perunggu,0
8,Renang,Kejurnas Antar PPLP/D 2018,100 meter Gaya Kupu-kupu Putri,Ulya Mutiara,perunggu,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Dada Putri,Ulya Mutiara,perunggu,0
8,Renang,Kejurnas Antar PPLP/D 2018,200 meter Gaya Ganti Perorangan Putri,Ulya Mutiara,perunggu,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Dada Putri,Alvia Azzahra,perunggu,0
8,Renang,Kejurnas Antar PPLP/D 2018,100 meter Gaya Dada Putri,Alvia Azzahra,perunggu,0
8,Renang,Kejurnas Antar PPLP/D 2018,200 meter Gaya Ganti Perorangan Putra,Lutfi Lukman,perunggu,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Ganti Perorangan Putri,Alvia Azzahra,perunggu,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Dada Putri,Sasy Zahrani,perunggu,0
8,Renang,Kejurnas Antar PPLP/D 2018,100 meter Gaya Dada Putri,Sasy Zahrani,perunggu,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Kupu-kupu Putri,Aurel Thallah Devita,perunggu,0
8,Renang,Kejurnas Antar PPLP/D 2018,100 meter Gaya Kupu-kupu Putri,Aurel Thallah Devita,perunggu,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Punggung Putri,Aurel Thallah Devita,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Punggung Putra,La Ode Fikri,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Punggung Putra,La Ode Fikri,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Ganti Perorangan Putri,Widad Audir,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Ganti Perorangan Putra,M. Adlan Sumori,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Bebas Putri,Raissa,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Bebas Putri,Asih Setyorini,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Ganti Perorangan Putra,La Ode Fikri,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Ganti Perorangan Putri,Widad Audir,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Bebas Putri,Widad Audir,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Punggung Putri,Widad Audir,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Kupu-kupu Putri,Widad Audir,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Kupu-kupu Putra,M. Adlan Sumori,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Punggung Putra,Rico Zelmi,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Bebas Putri,Asih Setyorini,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Kupu-kupu Putri,Asih Setyorini,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Ganti Perorangan Putri,Asih Setyorini,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Punggung Putri,Nadia Sectio,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Punggung Putri ,Almira Pohaci,perunggu,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Kupu-kupu Putri,Cintya Nariska,perunggu,0
1,Sepakbola,Turnamen Boots Sportsfix Super Cup 2018,Beregu,Persija Jakarta,emas,1
2,Sepakbola,Piala Presiden 2018,Sepakbola,Persija Jakarta,emas,1
11,Sepakbola,Java-Bali Cup Open 5 A-Side Football Tournament,Beregu,Atlet Sepakbola Pelatda DKI,emas,1
7,Sepakbola,Kejurnas Antar PPLP/D 2019,Beregu,Atlet PPOP DKI,perak,1
9,Sepakbola,Asian School Football India,Beregu,Atlet Sepakbola PPOP,perak,1
7,Sepakbola,Kejurnas Antar PPLP/D 2019,Beregu,Atlet PPOP DKI,emas,0
9,Sepakbola,Asian School Football India,Beregu,Atlet Sepakbola PPOP,emas,0
1,Sepakbola,Turnamen Boots Sportsfix Super Cup 2018,Beregu,Persija Jakarta,perak,0
2,Sepakbola,Piala Presiden 2018,Sepakbola,Persija Jakarta,perak,0
11,Sepakbola,Java-Bali Cup Open 5 A-Side Football Tournament,Beregu,Atlet Sepakbola Pelatda DKI,perak,0
1,Sepakbola,Turnamen Boots Sportsfix Super Cup 2018,Beregu,Persija Jakarta,perunggu,0
2,Sepakbola,Piala Presiden 2018,Sepakbola,Persija Jakarta,perunggu,0
7,Sepakbola,Kejurnas Antar PPLP/D 2019,Beregu,Atlet PPOP DKI,perunggu,0
9,Sepakbola,Asian School Football India,Beregu,Atlet Sepakbola PPOP,perunggu,0
11,Sepakbola,Java-Bali Cup Open 5 A-Side Football Tournament,Beregu,Atlet Sepakbola Pelatda DKI,perunggu,0
7,Tenis,Tennis Thamrin Cup 2018,Various,Atlet Tenis Pelatda DKI,emas,20
7,Tenis,Tennis Thamrin Cup 2018,Various,Atlet Tenis Pelatda DKI,perak,20
7,Tenis,Tennis Thamrin Cup 2018,Various,Atlet Tenis Pelatda DKI,perunggu,20
8,Tenis,Asian Games  XVII/2018,Ganda Campuran,Christopher Rungkat,emas,1
8,Tenis,Asian Games  XVII/2018,Ganda Campuran,Christopher Rungkat,perak,0
8,Tenis,Asian Games  XVII/2018,Ganda Campuran,Christopher Rungkat,perunggu,0
11,Tenis Meja,ITTF Para Copa Tango Argentina 2018,Various,Atlet Disabilitas DKI,emas,5
11,Tenis Meja,Kejurnas Tenis Meja 2018,Various,Atlet Tenis Meja Pelatda DKI,perunggu,5
11,Tenis Meja,Kejurnas Tenis Meja 2018,Various,Atlet Tenis Meja Pelatda DKI,emas,3
11,Tenis Meja,ITTF Para Spanish Open 2018,Various,Atlet Disabilitas DKI,emas,3
11,Tenis Meja,ITTF Para Copa Tango Argentina 2018,Various,Atlet Disabilitas DKI,perunggu,3
11,Tenis Meja,ITTF Para Spanish Open 2018,Various,Atlet Disabilitas DKI,perak,2
11,Tenis Meja,ITTF Para Copa Tango Argentina 2018,Various,Atlet Disabilitas DKI,perak,2
5,Tenis Meja,Kejuaraan Jurnalis Cup 2018,Tunggal Putra,Fernando,emas,1
5,Tenis Meja,Kejuaraan Jurnalis Cup 2018,Tunggal Putri,Desi Rahmadanti,emas,1
5,Tenis Meja,Kejuaraan Kepri Open 2018,Beregu Putra,David Jacob dan Fernando Palar,emas,1
8,Tenis Meja,Kejurnas Antar PPLP/D 2018,Beregu Putra,Atlet Bola Voli PPOP,perak,1
11,Tenis Meja,Kejurnas Tenis Meja 2018,Various,Atlet Tenis Meja Pelatda DKI,perak,1
8,Tenis Meja,Kejurnas Antar PPLP/D 2018,Beregu Putri,Atlet Bola Voli PPOP,perunggu,1
11,Tenis Meja,ITTF Para Spanish Open 2018,Various,Atlet Disabilitas DKI,perunggu,1
8,Tenis Meja,Kejurnas Antar PPLP/D 2018,Beregu Putra,Atlet Bola Voli PPOP,emas,0
8,Tenis Meja,Kejurnas Antar PPLP/D 2018,Beregu Putri,Atlet Bola Voli PPOP,emas,0
5,Tenis Meja,Kejuaraan Jurnalis Cup 2018,Tunggal Putra,Fernando,perak,0
5,Tenis Meja,Kejuaraan Jurnalis Cup 2018,Tunggal Putri,Desi Rahmadanti,perak,0
5,Tenis Meja,Kejuaraan Kepri Open 2018,Beregu Putra,David Jacob dan Fernando Palar,perak,0
8,Tenis Meja,Kejurnas Antar PPLP/D 2018,Beregu Putri,Atlet Bola Voli PPOP,perak,0
5,Tenis Meja,Kejuaraan Jurnalis Cup 2018,Tunggal Putra,Fernando,perunggu,0
5,Tenis Meja,Kejuaraan Jurnalis Cup 2018,Tunggal Putri,Desi Rahmadanti,perunggu,0
5,Tenis Meja,Kejuaraan Kepri Open 2018,Beregu Putra,David Jacob dan Fernando Palar,perunggu,0
8,Tenis Meja,Kejurnas Antar PPLP/D 2018,Beregu Putra,Atlet Bola Voli PPOP,perunggu,0
