kota/kabupaten,kecamatan,jenis_fasilitas_olahraga,jumlah
Jakarta Timur,Matraman,Bola Voli,1
Jakarta Timur,Kramat Jati,Bola Voli,0
Jakarta Timur,Makasar,Bola Voli,0
Jakarta Timur,Pasar Rebo,Bola Voli,1
Jakarta Timur,Ciracas,Bola Voli,0
Jakarta Timur,Cipayung,Bola Voli,1
Jakarta Timur,GOR PKP,Bola Voli,0
Jakarta Pusat,Cempaka Putih,Bola Voli,0
Jakarta Pusat,Johar Baru,Bola Voli,0
Jakarta Pusat,Kemayoran,Bola Voli,0
Jakarta Pusat,Gambir,Bola Voli,0
Jakarta Pusat,Menteng,Bola Voli,0
Jakarta Pusat,Senen,Bola Voli,0
Jakarta Pusat,Tanah Abang,Bola Voli,0
Jakarta Pusat,Sawah Besar,Bola Voli,0
Jakarta Barat,UPT GRJB,Bola Voli,1
Jakarta Barat,Grogol Petambutan,Bola Voli,0
Jakarta Barat,Palmerah,Bola Voli,1
Jakarta Barat,Kebon Jeruk,Bola Voli,1
Jakarta Barat,Kembangan,Bola Voli,1
Jakarta Barat,Cengkareng,Bola Voli,5
Jakarta Barat,Kalideres,Bola Voli,1
Jakarta Barat,Tambora,Bola Voli,0
Jakarta Barat,Tamansari,Bola Voli,0
Jakarta Utara,UP Gelanggang Remaja Jakarta Utara,Bola Voli,5
Jakarta Utara,Cilincing,Bola Voli,1
Jakarta Utara,Koja,Bola Voli,0
Jakarta Utara,Kelapa Gading,Bola Voli,1
Jakarta Utara,Tanjung Priok,Bola Voli,0
Jakarta Utara,Pademangan,Bola Voli,0
Jakarta Utara,Penjaringan,Bola Voli,2
Jakarta Selatan,Cilandak,Bulutangkis,5
Jakarta Selatan,Jagakarsa,Bulutangkis,4
Jakarta Selatan,Kebayoran Baru,Bulutangkis,5
Jakarta Selatan,Kebayoran Lama,Bulutangkis,4
Jakarta Selatan,Mampang Prapatan,Bulutangkis,19
Jakarta Selatan,Pancoran,Bulutangkis,24
Jakarta Selatan,Pasar Minggu,Bulutangkis,11
Jakarta Selatan,Pesanggrahan,Bulutangkis,4
Jakarta Selatan,Setiabudi,Bulutangkis,20
Jakarta Selatan,Tebet,Bulutangkis,13
Jakarta Timur,UP GJRT,Bulutangkis,2
Jakarta Timur,Fasilitas GOR Otista,Bulutangkis,2
Jakarta Timur,Duren Sawit,Bulutangkis,5
Jakarta Timur,Jatinegara,Bulutangkis,3
Jakarta Timur,Pulogadung,Bulutangkis,5
Jakarta Timur,Cakung,Bulutangkis,3
Jakarta Timur,Matraman,Bulutangkis,4
Jakarta Timur,Kramat Jati,Bulutangkis,2
Jakarta Timur,Makasar,Bulutangkis,4
Jakarta Timur,Pasar Rebo,Bulutangkis,3
Jakarta Timur,Ciracas,Bulutangkis,5
Jakarta Timur,Cipayung,Bulutangkis,3
Jakarta Timur,GOR PKP,Bulutangkis,0
Jakarta Pusat,Cempaka Putih,Bulutangkis,0
Jakarta Pusat,Johar Baru,Bulutangkis,0
Jakarta Pusat,Kemayoran,Bulutangkis,0
Jakarta Pusat,Gambir,Bulutangkis,0
Jakarta Pusat,Menteng,Bulutangkis,0
Jakarta Pusat,Senen,Bulutangkis,0
Jakarta Pusat,Tanah Abang,Bulutangkis,0
Jakarta Pusat,Sawah Besar,Bulutangkis,0
Jakarta Barat,UPT GRJB,Bulutangkis,3
Jakarta Barat,Grogol Petambutan,Bulutangkis,5
Jakarta Barat,Palmerah,Bulutangkis,3
Jakarta Barat,Kebon Jeruk,Bulutangkis,4
Jakarta Barat,Kembangan,Bulutangkis,3
Jakarta Barat,Cengkareng,Bulutangkis,9
Jakarta Barat,Kalideres,Bulutangkis,4
Jakarta Barat,Tambora,Bulutangkis,4
Jakarta Barat,Tamansari,Bulutangkis,0
Jakarta Utara,UP Gelanggang Remaja Jakarta Utara,Bulutangkis,23
Jakarta Utara,Cilincing,Bulutangkis,4
Jakarta Utara,Koja,Bulutangkis,0
Jakarta Utara,Kelapa Gading,Bulutangkis,0
Jakarta Utara,Tanjung Priok,Bulutangkis,4
Jakarta Utara,Pademangan,Bulutangkis,0
Jakarta Utara,Penjaringan,Bulutangkis,2
Jakarta Selatan,Cilandak,Golf,0
Jakarta Selatan,Jagakarsa,Golf,0
Jakarta Selatan,Kebayoran Baru,Golf,0
Jakarta Selatan,Kebayoran Lama,Golf,1
Jakarta Selatan,Mampang Prapatan,Golf,0
Jakarta Selatan,Pancoran,Golf,0
Jakarta Selatan,Pasar Minggu,Golf,0
Jakarta Selatan,Pesanggrahan,Golf,0
Jakarta Selatan,Setiabudi,Golf,0
Jakarta Selatan,Tebet,Golf,0
Jakarta Timur,UP GJRT,Golf,0
Jakarta Timur,Fasilitas GOR Otista,Golf,0
Jakarta Timur,Duren Sawit,Golf,0
Jakarta Timur,Jatinegara,Golf,0
Jakarta Timur,Pulogadung,Golf,0
Jakarta Timur,Cakung,Golf,0
Jakarta Timur,Matraman,Golf,0
Jakarta Timur,Kramat Jati,Golf,0
Jakarta Timur,Makasar,Golf,0
Jakarta Timur,Pasar Rebo,Golf,0
Jakarta Timur,Ciracas,Golf,0
Jakarta Timur,Cipayung,Golf,0
Jakarta Timur,GOR PKP,Golf,0
Jakarta Pusat,Cempaka Putih,Golf,0
Jakarta Pusat,Johar Baru,Golf,0
Jakarta Pusat,Kemayoran,Golf,0
Jakarta Pusat,Gambir,Golf,0
Jakarta Pusat,Menteng,Golf,0
Jakarta Pusat,Senen,Golf,0
Jakarta Pusat,Tanah Abang,Golf,0
Jakarta Pusat,Sawah Besar,Golf,0
Jakarta Barat,UPT GRJB,Golf,0
Jakarta Barat,Grogol Petambutan,Golf,0
Jakarta Barat,Palmerah,Golf,0
Jakarta Barat,Kebon Jeruk,Golf,0
Jakarta Barat,Kembangan,Golf,0
Jakarta Barat,Cengkareng,Golf,0
Jakarta Barat,Kalideres,Golf,0
Jakarta Barat,Tambora,Golf,0
Jakarta Barat,Tamansari,Golf,0
Jakarta Utara,UP Gelanggang Remaja Jakarta Utara,Golf,0
Jakarta Utara,Cilincing,Golf,0
Jakarta Utara,Koja,Golf,0
Jakarta Utara,Kelapa Gading,Golf,0
Jakarta Utara,Tanjung Priok,Golf,0
